classifier,full_mean_cv_score,full_train_score,full_test_score,ffbm_mean_cv_score,ffbm_train_score,ffbm_test_score,ks_mean_cv_score,ks_train_score,ks_test_score,ff_mean_cv_score,ff_train_score,ff_test_score,bm_mean_cv_score,bm_train_score,bm_test_score,h_mean_cv_score,h_train_score,h_test_score,li_mean_cv_score,li_train_score,li_test_score,dt_mean_cv_score,dt_train_score,dt_test_score,pba_mean_cv_score,pba_train_score,pba_test_score
DecisionTreeClassifier,0.7539520582605443,0.9618889809444904,0.8138957816377171,0.7614133902444391,0.9933719966859984,0.8138957816377171,0.7299151833843041,0.967688483844242,0.7890818858560794,0.7382208312248356,0.9734879867439934,0.7965260545905707,0.7382208312248356,0.9734879867439934,0.7965260545905707,0.7489686695562254,0.984258492129246,0.8238213399503722,0.7481463554157224,0.971830985915493,0.8238213399503722,0.7448240962795099,0.9635459817729909,0.8089330024813896,0.8044844997909837,0.9627174813587407,0.8883374689826302
SVC,0.7539300565444105,0.995857497928749,0.8114143920595533,0.7563997491804361,0.9900579950289976,0.8238213399503722,0.6976001628126994,0.9337199668599834,0.7568238213399504,0.7514521132648346,0.984258492129246,0.8114143920595533,0.7514521132648346,0.984258492129246,0.8114143920595533,0.7763140524960946,0.9569179784589892,0.8287841191066998,0.7522826780488878,0.975973487986744,0.8114143920595533,0.7572578161096565,0.932062966031483,0.8039702233250621,0.8028096191502938,0.9685169842584921,0.8759305210918115
RandomForestClassifier,0.8202074761831423,0.9975144987572494,0.8759305210918115,0.8276825592396206,0.9983429991714996,0.8759305210918115,0.792050779960837,0.9933719966859984,0.8461538461538461,0.8144072737673539,0.9966859983429992,0.8709677419354839,0.8144072737673539,0.9966859983429992,0.8709677419354839,0.8268272425249169,0.9933719966859984,0.8560794044665012,0.8185545972585863,0.9908864954432476,0.8387096774193549,0.8193714109700557,0.9983429991714996,0.858560794044665,0.8409358429957536,0.9743164871582436,0.8933002481389578
GradientBoostingClassifier,0.8028151195793272,1.0,0.8833746898263027,0.8144265252689711,0.9991714995857498,0.8957816377171216,0.7638555807352974,0.9950289975144988,0.8461538461538461,0.806134628501023,1.0,0.8808933002481389,0.806134628501023,1.0,0.8808933002481389,0.8177267826890499,0.9983429991714996,0.8709677419354839,0.8144292754834878,1.0,0.8709677419354839,0.8019900552243076,1.0,0.8808933002481389,0.8342913247233285,0.9743164871582436,0.9032258064516129
KNeighborsClassifier,0.778786495346637,1.0,0.8511166253101737,0.7705028492222393,0.9991714995857498,0.8560794044665012,0.7191563441948472,0.9942004971002486,0.8064516129032258,0.7746446722844382,1.0,0.8387096774193549,0.7746446722844382,1.0,0.8387096774193549,0.7953702888825328,0.9983429991714996,0.8436724565756824,0.7688527205122,1.0,0.8461538461538461,0.765544212448571,1.0,0.8436724565756824,0.8392637125695804,0.9743164871582436,0.8833746898263027
